Starting Location,Ending Location,Distance
Grand Island,Aberdeen,313.37375574589373
Grand Island,Brookings,246.5325785078742
Grand Island,Watertown,281.2177096939263
Grand Island,Yankton,142.77965196152942
Grand Island,Wichita,229.93931508953347
Grand Island,Overland Park,236.5861123648807
Grand Island,Olathe,234.37335640247943
Grand Island,Topeka,191.91657083432833
Grand Island,Lawrence,213.05144233686323
Grand Island,Shawnee,233.01290666311994
Grand Island,Lenexa,235.0170473536392
Grand Island,Manhattan,152.53057275324457
Grand Island,Salina,149.06984996055579
Grand Island,Dodge City,236.5957316518327
Grand Island,Kansas City,236.06913521353417
Grand Island,St Louis,461.3534796277108
Grand Island,Springfield,373.36817101406507
Grand Island,Columbia,346.8392136628853
Grand Island,Independence,243.74526643687582
Grand Island,St Joseph,201.08333771197115
Grand Island,St Peters,435.6211679758495
Grand Island,Blue Springs,252.56682502436524
Grand Island,Joplin,335.64839581100125
Grand Island,Jefferson City,366.19180519684693
Grand Island,Wildwood,439.5248604501865
Grand Island,Ozark,385.94945728845306
Kearney,Omaha,169.0087735992516
Kearney,Lincoln,125.07912020470218
Kearney,Grand Island,41.826427730281
Kearney,Columbus,103.127803775737
Kearney,Bellevue,168.5017112438897
Kearney,Papillion,162.09923689627354
Kearney,Plattsmouth,169.0706909737512
Kearney,Des Moines,291.1133067018779
Kearney,Iowa City,398.87342170674685
Kearney,Cedar Rapids,395.5398056766249
Kearney,Davenport,447.28045118090506
Kearney,Sioux City,186.01672655272188
Kearney,Waterloo,971.0630838423967
Kearney,Ankeny,294.3321352116407
Kearney,Ames,297.79608274697733
Kearney,Council Bluffs,172.84010308516832
Kearney,Dubuque,453.11026104680207
Kearney,Urbandale,284.7598419585321
Kearney,Sioux Falls,230.60130461823135
Kearney,Pierre,261.333162319396
Kearney,Rapid City,315.40886142183433
Kearney,Deadwood,347.3270768824333
Kearney,Aberdeen,330.33248992782876
Kearney,Brookings,275.2139013176378
Kearney,Watertown,306.6455527054534
Kearney,Yankton,173.29980568675396
Kearney,Wichita,228.0572884023752
Kearney,Overland Park,262.7605572348828
Kearney,Olathe,259.1844056496675
Kearney,Topeka,213.94341779164648
Kearney,Lawrence,236.73736978494733
Kearney,Shawnee,259.33483766493055
Kearney,Lenexa,260.7322250053649
Kearney,Manhattan,169.4086452062043
Kearney,Salina,150.24879411501513
Kearney,Dodge City,209.36355657584804
Kearney,Kansas City,263.4683209853654
Kearney,St Louis,494.46092697105996
Kearney,Springfield,393.8055468526852
Kearney,Columbia,378.53313198414594
Kearney,Independence,271.6149050124906
Kearney,St Joseph,232.96530206309424
Kearney,St Peters,468.84131887696884
Kearney,Blue Springs,280.32334181500596
Kearney,Joplin,350.3812963040271
Kearney,Jefferson City,396.37272417250733
Kearney,Wildwood,471.9553870164536
Kearney,Ozark,405.7927218017177
Columbus,Omaha,75.06805924533482
Columbus,Lincoln,54.6416604883264
Columbus,Grand Island,61.91669071759271
Columbus,Kearney,103.127803775737
Columbus,Bellevue,77.46473361180892
Columbus,Papillion,71.1088479034163
